origin_time,region,magnitude,distance,depth,lat,lon,backazimuth,ratio_0.0500Hz,ratio_0.0600Hz,ratio_0.0700Hz,ratio_0.0800Hz,ratio_0.0900Hz,ratio_0.1000Hz,ratio_0.1100Hz,ratio_0.1200Hz,ratio_0.1300Hz,ratio_0.1400Hz,ratio_0.1500Hz,ratio_0.1600Hz,ratio_0.1700Hz,ratio_0.1800Hz,ratio_0.1900Hz
2021-07-29T06:15:47.490000Z,7,7.04,8477.13042350966,21.9942,55.4449,-157.997,353.7548502248424,4.711104122315085,5.023219439747197,5.583375721538788,6.1676547524568175,5.499875353873692,4.253811093698735,4.294015214384861,5.034546308670094,4.847401854853925,3.795123318993327,3.366025071799279,3.6296833048679793,3.3380454902898262,2.4569339761121127,1.9573737082434668
2021-08-12T18:32:52.380000Z,7,6.1,12195.837830951408,28.1493,-57.6748,-24.928,199.7080215871273,5.502734659782044,5.390808253872215,6.0100444993725,6.602730150299275,6.420923376621258,5.565502843915166,4.382383237508396,3.8474887408269938,3.732492017686931,3.2650191425767177,2.83323682690204,2.847425928478443,2.874885277845998,2.68662407994004,2.3455855520504847
2021-11-10T15:45:13.550000Z,2,6.31,9789.916218001348,14.2762,23.5266,126.4819,56.03287322161216,0.6345872119724058,0.931372843481814,1.1194693490914145,1.1785331432815862,1.2739119923123312,1.4451576841994231,1.6358927780494743,1.8054809759694983,1.9991049663287608,2.343847070836818,2.878359943020167,3.289774524840404,3.347331370024919,3.1823495607011143,2.847339473557172
2022-09-05T04:52:20.140000Z,2,6.09,7690.273842891906,11.0757,29.6074,102.2606,68.53516061589144,0.8761065712718036,1.0285863962501491,1.203496018146401,1.4317813314672876,1.64488606195575,1.7121476148826429,1.6670651799581233,1.6720873038407809,1.7551420249748115,1.844475666523288,1.9938281591887492,2.2562298042133646,2.617562981024107,2.9787381610241903,2.9083260528891013
2022-09-10T23:47:00.870000Z,2,7.02,13744.679189413362,112.9477,-6.3134,146.5328,56.9101811316029,1.7198298637680778,1.8337977936051515,1.8589845094872683,1.8673869308753648,1.971865031874949,2.139358473754528,2.3399333696020643,2.602827509553789,2.928490911589725,3.292861232037596,3.4277338023157915,3.2123137112503195,2.9550469401100443,2.847762354900373,2.743811703363218
2022-09-17T13:41:19.180000Z,2,6.05,9503.695797336062,11.2619,23.0566,121.2979,60.07607800215689,2.604091446759534,1.9970174078673129,2.143269664295263,2.3715098776502965,2.173755579144683,2.1353199512768533,1.930075852731769,1.97842580155186,1.9130290180926248,1.5036491591161918,1.951032563640985,3.183918673279908,3.518418844600892,3.0521260407775688,2.508036720091549
2022-09-18T06:44:15.790000Z,2,6.29,9498.437915537112,10.7648,23.134,121.3197,60.01184676276322,1.0927514335913957,1.1009730544106486,1.1005297266666922,1.1480470528950115,1.2572560063961893,1.386646555065548,1.702681416674242,1.9946744162108565,1.9670446887713493,1.9023673585607177,1.9960059780469384,2.3729468274623624,3.023938861839194,3.209433739571098,2.6727310608761137
2022-09-19T18:05:07.760000Z,4,6.45,10191.090838480302,14.6128,18.3923,-103.1203,300.27145987594946,1.113676344262181,1.507352451368362,1.7486727403472415,1.53469737817493,1.932209572233536,2.368050326779857,2.1030194218859286,2.015233164654373,2.7972595752531264,3.350753032900296,2.819932751220644,2.553470250840003,2.781277015475822,2.6874305201319992,2.7520832737627843
2023-12-28T09:15:16.130000Z,2,6.3,8934.653099704597,31.0,44.596,149.0388,29.04819796783052,1.8334858654880344,1.844267092110783,1.730798151508829,1.8524525987265643,2.146888376670329,2.2559447932460364,2.289328503964278,2.4266480838940385,2.7161962490890743,2.9734265536266307,3.0910367931886995,3.2022881233473357,3.2306124089014627,2.9871497922992494,2.4694605375168384
2024-01-01T07:10:09.470000Z,2,6.9,9120.36408100474,10.0,37.4874,137.271,40.397544124406494,1.032624691025393,1.3370049440490843,1.4470259692380565,1.124140565913783,0.77804496475991,0.9214848067795104,1.3081076968660208,1.913559406974328,2.543375667948889,2.536774188571896,2.3308571305031403,2.4236977571847853,2.622776396593653,2.614903797939036,2.233220683779778
2024-01-22T18:09:04.340000Z,2,6.6,5221.226896408647,13.0,41.2555,78.6538,72.0502380670926,1.3952150854058398,1.4398398029665855,1.2805712267387956,1.3702652085443754,1.8784110301869088,2.2383292216502424,2.088532445937748,1.925000303601084,2.1158025671007503,2.462597920297783,2.5507298203680078,2.56746860124954,3.256473520685064,3.4840686377692056,2.293297776523493
2024-04-02T23:58:12.170000Z,2,6.8,9455.85963309415,40.0,23.8356,121.5976,59.37257775470805,0.841470406598443,1.0149631943410384,1.221531857486672,1.333257082570184,1.2821456932041777,1.3769900005742373,1.2838875621418946,1.4337503099883973,1.8895411932933297,2.0522433917753014,1.702940942787413,1.7217142868438575,3.0634559562021155,3.265567581231338,2.662079694672713
2024-06-28T05:36:36.900000Z,4,6.4,10993.405240598306,24.0,-15.8277,-74.454,256.39472632174574,1.2222976664778793,1.5997826743606376,1.71219150238386,1.8021644664356515,2.253897180436423,2.507134767538338,2.663470541492624,2.6402494457522847,2.1289144930364894,2.541393728000659,3.223444836768656,3.8055414186361896,4.4053528800542265,3.88158357233519,2.8377801362199757
2024-08-15T23:35:53.940000Z,2,6.2,9474.149643636729,14.0,23.7491,121.7669,59.30574901387912,0.5878689973696742,0.6154374098196396,0.936655348612038,1.3671750104928522,1.1390881060748708,0.856260219891706,1.0145925082026437,1.4177877286877003,1.646766713386616,1.6426600061223993,2.0001929953249094,2.8348611147416154,3.438697736380536,3.225346730857412,2.5053961859123577
2024-08-17T19:10:26.820000Z,2,6.5,8420.851288884776,29.0,52.9308,160.1331,18.77783021221337,0.8977172088374745,1.0016437826822688,1.017065647126473,1.1378751520504398,1.5634737132016712,1.6419645745862983,1.5993253053893208,2.068262303300856,2.5624219169952243,2.3467010861105004,2.120770592224948,2.442063228476076,3.292852708535664,4.47960767803343,3.887723426577449
2024-11-10T16:49:50.420000Z,4,6.1,8273.343835549937,14.0,19.7974,-77.0506,282.4186590088093,0.5210427438423542,0.6886321546868304,0.7599179866048419,1.1672693058425203,1.5331050495687977,1.5791152740394088,1.5912464105397954,2.08297305110134,2.478183459797249,2.6288875242442944,2.41400161443509,2.209822565562918,2.953484633148654,3.1908459113026453,2.501504265546598
